"","state","naics","emp"
"781","New York","61",1414320
"782","New York","62",2241750
"783","New York","71",135410
"784","New York","72",410750
"785","New York","81",324350
"786","New York","99",562460
"787","North Carolina","11",470
"788","North Carolina","21",150
"789","North Carolina","22",7030
"790","North Carolina","23",85510
"791","North Carolina","31",105580
"792","North Carolina","32",51620
"793","North Carolina","33",77300
"794","North Carolina","42",198730
"795","North Carolina","44",403570
"796","North Carolina","45",122890
"797","North Carolina","48",34940
"798","North Carolina","49",6700
"799","North Carolina","51",65450
"800","North Carolina","52",284010
"801","North Carolina","53",52530
"802","North Carolina","54",432340
"803","North Carolina","55",124200
"804","North Carolina","56",107680
"805","North Carolina","61",559090
"806","North Carolina","62",1029940
"807","North Carolina","71",53730
"808","North Carolina","72",227540
"809","North Carolina","81",70730
"810","North Carolina","99",272960
"811","North Dakota","11",120
"812","North Dakota","21",3030
"813","North Dakota","22",910
"814","North Dakota","23",5780
"815","North Dakota","31",4290
"816","North Dakota","32",750
"817","North Dakota","33",2230
"818","North Dakota","42",21540
"819","North Dakota","44",35650
"820","North Dakota","45",11190
"821","North Dakota","48",3370
"822","North Dakota","49",240
"823","North Dakota","51",3530
"824","North Dakota","52",19820
"825","North Dakota","53",3380
"826","North Dakota","54",20370
"827","North Dakota","55",3090
"828","North Dakota","56",4790
"829","North Dakota","61",49200
"830","North Dakota","62",102550
"831","North Dakota","71",1190
"832","North Dakota","72",16170
"833","North Dakota","81",6400
"834","North Dakota","99",24730
"835","Ohio","21",1660
"836","Ohio","22",9590
"837","Ohio","23",68620
"838","Ohio","31",142530
"839","Ohio","32",64580
"840","Ohio","33",148580
"841","Ohio","42",241710
"842","Ohio","44",427220
"843","Ohio","45",145190
"844","Ohio","48",41750
"845","Ohio","49",9250
"846","Ohio","51",67750
"847","Ohio","52",325160
"848","Ohio","53",52230
"849","Ohio","54",398970
"850","Ohio","55",176580
"851","Ohio","56",152050
"852","Ohio","61",765890
"853","Ohio","62",1434570
"854","Ohio","71",52600
"855","Ohio","72",204320
"856","Ohio","81",127250
"857","Ohio","99",293800
"858","Oklahoma","11",40
"859","Oklahoma","21",25150
"860","Oklahoma","22",7130
"861","Oklahoma","23",24780
"862","Oklahoma","31",30610
"863","Oklahoma","32",7500
"864","Oklahoma","33",31880
"865","Oklahoma","42",58090
"866","Oklahoma","44",135830
"867","Oklahoma","45",48990
"868","Oklahoma","48",9780
"869","Oklahoma","49",1840
"870","Oklahoma","51",16120
"871","Oklahoma","52",79980
"872","Oklahoma","53",17850
"873","Oklahoma","54",91650
"874","Oklahoma","55",23670
"875","Oklahoma","56",47940
"876","Oklahoma","61",204260
"877","Oklahoma","62",361640
"878","Oklahoma","71",18750
"879","Oklahoma","72",80850
"880","Oklahoma","81",23640
"881","Oklahoma","99",134510
"882","Oregon","11",830
"883","Oregon","21",300
"884","Oregon","22",2120
"885","Oregon","23",34100
"886","Oregon","31",49820
"887","Oregon","32",11110
"888","Oregon","33",45780
"889","Oregon","42",76560
"890","Oregon","44",151500
"891","Oregon","45",55920
"892","Oregon","48",12800
"893","Oregon","49",2010
"894","Oregon","51",33200
"895","Oregon","52",73930
"896","Oregon","53",20630
"897","Oregon","54",143420
